ds,FC,GH,EF,OP,SH,FCc,GHc,EFc,OPc,SHc
2015-01-01,1051.0,497.0,2255.0,825.0,1708.0,2.5846094010566,1.5045816048998586,0.5564477652341125,0.6801392529392469,0.5721749687588714
2015-01-08,1059.0,489.0,2256.0,835.0,1704.0,2.211902494945088,2.2689948715623096,0.8543796501135732,0.984886279105329,1.0999091710211975
2015-01-15,1054.0,497.0,2271.0,835.0,1716.0,1.8696131062224786,1.7310360920385817,0.8479110653685795,0.9207813531290396,0.9445604736357127
2015-01-22,1061.0,494.0,2272.0,832.0,1739.0,1.8336803165160913,2.1459224392269443,0.3644869447163007,0.9246716973261813,0.9713165623930394
2015-01-29,1055.0,490.0,2286.0,830.0,1738.0,2.5245231437418054,1.6163342650155863,0.49783133153777726,0.9052787844533986,0.6113701094564788
2015-02-05,1058.0,502.0,2283.0,842.0,1739.0,2.5406901479942197,1.7944099981028527,0.7029031823650355,1.0946994804022596,0.8658003229650905
2015-02-12,1064.0,504.0,2285.0,840.0,1746.0,1.9436392670830858,2.005832109660778,0.5247588430515587,0.6901294529490799,0.6302173480848368
2015-02-19,1062.0,506.0,2296.0,837.0,1726.0,2.237084915315744,1.7162846408505583,0.7334363736175227,0.49681873349186256,0.5362204894059709
2015-02-26,1063.0,506.0,2297.0,839.0,1714.0,2.657542057899618,1.7746282147063894,1.036739595053327,1.0204858128637815,0.6687356174738336
2015-03-05,1055.0,508.0,2293.0,844.0,1725.0,2.218400914227625,1.8460659749788135,0.3968544851993402,0.9479420544979312,0.8825200019903471
2015-03-12,1067.0,497.0,2290.0,836.0,1750.0,2.6491471197515963,2.5344927626174445,0.2699180677444484,1.0614326477954519,0.477250143183625
2015-03-19,1071.0,520.0,2284.0,846.0,1793.0,2.644802696722997,2.556077455979366,1.1803107464273517,0.9689963524980255,0.7474480890541343
2015-03-26,1068.0,498.0,2280.0,833.0,1759.0,2.6863420126872795,1.926022603380318,1.186632805838284,0.7289538299038528,0.5068021471616291
2015-04-02,1072.0,491.0,2280.0,835.0,1768.0,2.4430776835509302,1.7805671507050196,1.0446692284996413,1.2418279732896105,0.4821454399449845
2015-04-09,1087.0,498.0,2267.0,837.0,1730.0,2.484040967267281,1.85628319660033,0.8951215857878723,0.8137510726579943,0.9006618066097588
2015-04-16,1082.0,511.0,2268.0,839.0,1714.0,2.135989119991393,2.651826357239188,1.160892217763113,1.4734237442900082,0.6911307838809985
2015-04-23,1088.0,507.0,2282.0,849.0,1706.0,2.6854058289185456,2.136308866302623,0.5294363699785226,1.0696969654987232,1.171341976551315
2015-04-30,1073.0,508.0,2295.0,847.0,1685.0,2.9832531502890562,2.661938251854608,1.1448173785212887,0.8594413762099445,0.7761370640416455
2015-05-07,1082.0,501.0,2299.0,858.0,1683.0,2.3647789123027314,1.869454693615241,1.0399682348095078,1.2399282473833504,0.4237476872396304
2015-05-14,1077.0,510.0,2315.0,855.0,1640.0,2.372237507602968,2.876518866660542,0.5516805398562471,0.9184342256567531,0.8650114120572505
2015-05-21,1077.0,511.0,2333.0,858.0,1639.0,2.2057572455307004,2.011145570421254,0.36084383755850924,0.9958218532815469,0.8862652897559745
2015-05-28,1074.0,541.0,2319.0,831.0,1646.0,3.0759199602908422,2.1368972145780067,0.6906502711890163,1.5447610744455185,1.2572213827303607
2015-06-04,1067.0,530.0,2338.0,833.0,1671.0,2.5772733284418194,2.511661793509795,0.8908654411619913,1.5367124645185481,1.0127461893548064
